,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kunashak,0,RU,1558563669,49,55.7,61.55,48.2,6.71
1,Nome,90,US,1558563201,74,30.04,-94.42,86.0,13.87
2,Salalah,20,OM,1558563400,83,17.01,54.1,84.2,2.24
3,Victoria,75,BN,1558563226,88,5.28,115.24,80.6,2.24
4,Torbay,90,CA,1558563441,100,47.66,-52.73,36.0,24.16
5,Mount Gambier,90,AU,1558563823,100,-37.83,140.78,39.2,6.93
6,Kareli,0,IN,1558563823,17,22.93,79.06,95.81,11.68
7,Zhigansk,100,RU,1558563653,66,66.77,123.37,40.55,6.89
8,Tuktoyaktuk,40,CA,1558563404,47,69.44,-133.03,55.4,16.11
9,Kapaa,1,US,1558563414,69,22.08,-159.32,82.4,10.29
10,Saskylakh,98,RU,1558563405,89,71.97,114.09,29.75,7.99
11,San Cristobal,40,EC,1558563380,55,-0.39,-78.55,68.0,13.87
12,Tura,100,IN,1558563424,91,25.52,90.21,76.55,5.08
13,Kruisfontein,0,ZA,1558563824,83,-34.0,24.73,50.27,4.23
14,Butaritari,73,KI,1558563307,70,3.07,172.79,83.95,6.02
15,Tasiilaq,31,GL,1558563122,65,65.61,-37.64,41.0,6.93
16,Mar del Plata,99,AR,1558563400,61,-46.43,-67.52,54.77,24.58
17,Marsa Matruh,0,EG,1558563824,64,31.35,27.25,75.2,6.93
18,Atuona,21,PF,1558563306,75,-9.8,-139.03,82.33,11.7
19,Mataura,1,NZ,1558563384,82,-46.19,168.86,53.01,1.01
20,Punta Arenas,90,CL,1558563259,93,-53.16,-70.91,46.4,4.7
21,Khandyga,100,RU,1558563825,89,62.65,135.58,47.21,4.74
22,Jamestown,0,AU,1558563393,57,-33.21,138.6,60.17,7.45
23,Hilo,40,US,1558563309,48,19.71,-155.08,84.2,11.41
24,Galesong,20,ID,1558563401,100,-5.32,119.37,75.2,1.12
25,Ceuta,0,MX,1558563825,44,23.9,-106.93,86.0,8.01
26,Muravlenko,97,RU,1558563825,84,63.79,74.5,28.67,4.74
27,Fairview,1,US,1558563827,26,40.81,-74.0,77.0,2.08
28,Maltahohe,100,NA,1558563827,26,-24.83,16.98,64.13,4.5
29,Evanston,1,US,1558563827,37,42.04,-87.69,84.2,19.46
30,Sorland,20,NO,1558563514,75,67.67,12.69,44.6,21.92
31,Banda Aceh,68,ID,1558563454,70,5.56,95.32,84.47,6.69
32,Bowen,40,AU,1558563481,88,-20.01,148.25,72.0,9.17
33,Esperance,40,TT,1558563431,78,10.24,-61.45,84.0,12.75
34,Syava,100,RU,1558563828,97,58.01,46.32,47.21,4.41
35,Puerto Ayora,75,EC,1558563408,78,-0.74,-90.35,78.8,12.75
36,Iqaluit,75,CA,1558563424,93,63.75,-68.52,37.0,16.11
37,Chuy,45,UY,1558563413,66,-33.69,-53.46,63.59,10.87
38,Rikitea,15,PF,1558563386,73,-23.12,-134.97,75.47,10.92
39,Busselton,90,AU,1558563386,70,-33.64,115.35,48.0,13.94
40,Shamary,72,RU,1558563603,65,57.34,58.22,41.81,4.41
41,Tekeli,40,KZ,1558563829,56,44.86,78.76,46.13,6.29
42,Hobart,75,AU,1558563269,62,-42.88,147.33,55.0,8.05
43,Avarua,100,CK,1558563441,94,-21.21,-159.78,75.2,14.99
44,Emerald,0,AU,1558563829,76,-23.53,148.16,63.0,8.05
45,New Norfolk,75,AU,1558563391,62,-42.78,147.06,55.0,8.05
46,Potsdam,0,DE,1558563829,76,52.4,13.06,57.0,8.05
47,Sergeyevka,0,KZ,1558563830,69,53.88,67.42,41.81,5.37
48,Leningradskiy,100,RU,1558563398,86,69.38,178.42,27.95,2.71
49,Albany,75,US,1558563401,30,42.65,-73.75,71.01,4.7
50,Mareeba,75,AU,1558563504,88,-16.99,145.42,73.0,14.99
51,Havoysund,75,NO,1558563830,74,71.0,24.66,33.8,5.82
52,Ushuaia,90,AR,1558563399,86,-54.81,-68.31,37.4,17.22
53,Bredasdorp,84,ZA,1558563390,87,-34.53,20.04,53.6,4.7
54,Parfino,40,RU,1558563831,85,57.97,31.65,59.45,3.24
55,Saint-Pierre,0,FR,1558563496,76,48.95,4.24,55.4,3.36
56,Itapora,61,BR,1558563831,88,-22.08,-54.79,71.69,6.46
57,Castro,75,CL,1558563394,87,-42.48,-73.76,44.6,5.82
58,Cairns,75,AU,1558563181,88,-16.92,145.77,72.0,14.99
59,Berdigestyakh,97,RU,1558563691,74,62.1,126.7,43.61,3.83
60,Ormond Beach,40,US,1558563771,65,29.29,-81.06,87.01,9.17
61,Namibe,0,AO,1558563832,81,-15.19,12.15,69.17,11.25
62,Ribeira Grande,0,PT,1558563387,85,38.52,-28.7,63.41,10.4
63,Haines Junction,0,CA,1558563832,31,60.75,-137.51,59.63,10.42
64,Sao Joao da Barra,0,BR,1558563492,88,-21.64,-41.05,77.0,5.82
65,Tiksi,0,RU,1558563188,91,71.64,128.87,25.27,7.83
66,Bluff,0,AU,1558563384,81,-23.58,149.07,58.91,9.66
67,Cayenne,90,GF,1558563417,94,4.94,-52.33,75.2,1.12
68,Nanakuli,1,US,1558563625,58,21.39,-158.15,87.8,6.93
69,Yulara,0,AU,1558563172,71,-25.24,130.99,51.8,4.7
70,Thompson,75,CA,1558563386,40,55.74,-97.86,51.8,9.17
71,Deutschlandsberg,20,AT,1558563833,76,46.81,15.21,57.0,2.24
72,Khatanga,100,RU,1558563190,93,71.98,102.47,28.33,21.63
73,Port Alfred,0,ZA,1558563387,84,-33.59,26.89,55.0,4.0
74,Kontagora,27,NG,1558563833,48,10.4,5.47,88.07,3.24
75,Sinnamary,100,GF,1558563834,87,5.38,-52.96,78.35,7.7
76,Cockburn Town,4,TC,1558563834,74,21.46,-71.14,82.13,8.14
77,Kaspiysk,75,RU,1558563834,93,42.88,47.64,60.8,8.95
78,Lazaro Cardenas,5,MX,1558563437,9,28.39,-105.62,96.8,23.04
79,Faya,40,SA,1558563397,67,18.39,42.45,62.6,6.93
80,Mahebourg,75,MU,1558563140,83,-20.41,57.7,75.2,10.13
81,Fortuna,0,ES,1558563835,77,38.18,-1.13,68.0,1.12
82,Sao Felix do Xingu,83,BR,1558563442,95,-6.64,-51.99,75.83,4.03
83,Quzhou,1,CN,1558563835,75,28.97,118.86,61.25,0.89
84,Rio Gallegos,75,AR,1558563588,100,-51.62,-69.22,46.4,2.24
85,Ponta do Sol,22,BR,1558563454,79,-20.63,-46.0,64.49,3.83
86,Mogwase,0,ZA,1558563836,46,-25.28,27.22,58.73,2.68
87,Belaya Gora,100,RU,1558563497,77,68.54,146.19,40.55,18.25
88,Qaanaaq,100,GL,1558563385,78,77.48,-69.36,31.19,3.8
89,Pilibhit,0,IN,1558563836,21,28.63,79.81,89.69,3.6
90,Provideniya,75,RU,1558563437,86,64.42,-173.23,33.8,4.47
91,Lebu,100,ET,1558563405,86,8.96,38.73,59.27,2.51
92,La Ronge,20,CA,1558563836,37,55.1,-105.3,68.0,11.41
93,Khani,92,GE,1558563837,100,41.96,42.96,59.0,6.93
94,Taksimo,65,RU,1558563837,75,56.36,114.84,38.57,5.82
95,Kavaratti,10,IN,1558563409,78,10.57,72.64,85.01,7.65
96,Nanortalik,93,GL,1558563409,74,60.14,-45.24,40.55,1.5
97,Katherine,70,AU,1558563837,77,-14.47,132.26,64.4,6.89
98,Monduli,72,TZ,1558563837,92,-3.3,36.45,62.51,3.24
99,Srednekolymsk,100,RU,1558563476,64,67.46,153.71,47.39,22.57
100,Barrow,0,AR,1558563391,46,-38.31,-60.23,52.25,6.44
101,Upernavik,0,GL,1558563421,82,72.79,-56.15,33.89,5.14
102,Neryungri,100,RU,1558563838,96,56.66,124.71,43.61,5.19
103,Takoradi,100,GH,1558563838,91,4.89,-1.75,77.81,4.03
104,Yuzhno-Kurilsk,0,RU,1558563838,85,44.03,145.86,49.01,7.85
105,Hermanus,94,ZA,1558563387,96,-34.42,19.24,57.99,1.01
106,Lorengau,4,PG,1558563417,90,-2.02,147.27,78.53,0.89
107,Mafeteng,2,LS,1558563839,51,-29.82,27.24,51.53,4.34
108,Kimbe,15,PG,1558563839,86,-5.56,150.15,76.73,3.44
109,Saint George,40,GR,1558563428,59,39.45,22.34,60.8,4.38
110,Nikolskoye,40,RU,1558563421,82,59.7,30.79,60.8,4.47
111,Cherskiy,69,RU,1558563413,78,68.75,161.3,33.89,8.97
112,Melipilla,0,CL,1558563840,30,-33.69,-71.21,64.99,6.93
113,Klaksvik,100,FO,1558563396,87,62.23,-6.59,42.8,19.46
114,Kiama,0,AU,1558563840,100,-34.67,150.86,66.99,8.05
115,East London,0,ZA,1558563365,74,-33.02,27.91,53.87,3.8
116,Miri,56,NG,1558563840,42,10.31,9.75,85.55,2.24
117,Port Macquarie,0,AU,1558563265,87,-31.43,152.91,55.99,2.3
118,Sterlibashevo,100,RU,1558563841,97,53.44,55.26,48.47,3.13
119,Goderich,100,CA,1558563435,69,43.74,-81.71,59.0,13.0
120,Ostrovnoy,71,RU,1558563393,77,68.05,39.51,33.17,14.43
121,Dingle,93,PH,1558563391,81,11.0,122.67,78.17,2.48
122,Shirokiy,100,RU,1558563841,59,53.87,39.17,60.01,7.14
123,Kodiak,1,US,1558563394,22,39.95,-94.76,73.99,11.41
